GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring-Hibernate-Rest-Api,com.cg.exception.handler,GlobalExceptionHandler,18,3,0,0,4,1,1,1,1,1
Spring-Hibernate-Rest-Api,com.cg.model,Review,35,3,0,0,15,1,10,1,10,1
Spring-Hibernate-Rest-Api,com.cg.model,Movie,31,15,0,0,14,6,9,1,9,1
Spring-Hibernate-Rest-Api,com.cg.service,MovieServiceImpl,41,7,0,0,7,2,7,2,7,2
Spring-Hibernate-Rest-Api,com.cg.service,ReviewServiceImpl,23,3,0,0,7,1,7,1,7,1
Spring-Hibernate-Rest-Api,com.cg.secure.config,JwtRequestFilter,92,3,10,0,26,1,6,1,1,1
Spring-Hibernate-Rest-Api,com.cg.secure.config,WebSecurityConfig,0,82,0,0,0,14,0,5,0,5
Spring-Hibernate-Rest-Api,com.cg.secure.config,JwtTokenUtil,116,3,8,0,16,1,15,1,11,1
Spring-Hibernate-Rest-Api,com.cg.secure.config,JwtAuthenticationEntryPoint,8,3,0,0,3,1,1,1,1,1
Spring-Hibernate-Rest-Api,com.cg.dto,ApiError,17,0,0,0,7,0,5,0,5,0
Spring-Hibernate-Rest-Api,com.cg,SwaggerConfiguration,0,3,0,0,0,1,0,1,0,1
Spring-Hibernate-Rest-Api,com.cg,Application,5,8,0,0,2,2,1,2,1,2
Spring-Hibernate-Rest-Api,com.cg,Application.new WebMvcConfigurer() {...},0,25,0,0,0,3,0,2,0,2
Spring-Hibernate-Rest-Api,com.cg.restapi,ReviewCatalogue,13,3,0,0,3,1,3,1,3,1
Spring-Hibernate-Rest-Api,com.cg.restapi,MovieCatalogue,35,3,0,0,8,1,7,1,7,1
Spring-Hibernate-Rest-Api,com.cg.secure.service,JwtUserDetailsService,79,3,2,0,17,1,5,1,4,1
Spring-Hibernate-Rest-Api,com.cg.secure.model,UserDto,24,0,0,0,10,0,7,0,7,0
Spring-Hibernate-Rest-Api,com.cg.secure.model,User,28,3,0,0,12,1,8,1,8,1
Spring-Hibernate-Rest-Api,com.cg.secure.model,JwtResponse,21,0,0,0,9,0,4,0,4,0
Spring-Hibernate-Rest-Api,com.cg.secure.model,JwtRequest,26,0,0,0,12,0,6,0,6,0
Spring-Hibernate-Rest-Api,com.cg.exception,ApplicationException,4,0,0,0,2,0,1,0,1,0
Spring-Hibernate-Rest-Api,com.cg.dao,ReviewDaoImpl,60,3,2,0,17,1,8,1,7,1
Spring-Hibernate-Rest-Api,com.cg.secure.controller,MyController,30,3,0,0,7,1,5,1,5,1
Spring-Hibernate-Rest-Api,com.cg.secure.controller,JwtAuthenticationController,69,3,0,0,16,1,3,1,3,1
